title,image
ИЗУМРУДНОЕ ОЖЕРЕЛЬЕ_Борисов-Мусатов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/25/abf9c25aa4a5b422839e4b8a0999b988/thumb/ad13a2a07ca4b7642959dc0c4c740ab6_x1.png
ПОРТРЕТ М.И. ЛОПУХИНОЙ_Боровиковский_Владимир.txt,https://cdn.tretyakov.ru/mytretyakov/22/4d4c61e6dbc7575ec808389b63f9b1e9/thumb/cbc476bc8135d669884092b2991bee21_x1.jpg
АРЛЕКИН И СМЕРТЬ_Сомов_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/c/aed9bfbc3961cdf1384dab553a94db4c/thumb/788304097fce3e5d98c48cb17ebf155c_x1.jpg
КРУЖЕВНИЦА_Тропинин_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/23/c48ebfb2dd36be0637dffa357103c2e5/thumb/14db62200d8bf46551aa214accafe1df_x1.png
БЕРЕЗОВАЯ РОЩА_Куинджи_Архип.txt,https://cdn.tretyakov.ru/mytretyakov/24/2a502acdb31a6bcb7283104c9deb7bba/thumb/cd84ab7a27882056a8731cfb62d741c6_x1.jpg
ЖЕНЩИНА С ГРАБЛЯМИ_Малевич_Казимир.txt,https://cdn.tretyakov.ru/mytretyakov/26/53857c9e0cecd9e27896744622c43e45/thumb/3d0f623eedc63c9056f43602fd1d4af6_x1.png
ЗИМА. ВРЕМЕНА ГОДА (НОВЫЙ ПРИМИТИВ)_Ларионов_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/26/38a9d80c8de06bbd0f49aeb8e36ceff3/thumb/d88fbd313435daeaed557e74dc501727_x1.jpg
ЕЛОВЫЙ ЛЕС_Шишкин_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/25/b8db06f7efcac18962ee9db91a633228/thumb/501ef07d177a03c8b2b973953c3a7e69_x1.jpg
МОЙ ДЕНЬ. ВСТРЕЧА_Попков_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/37/bda0ff987abd9f97393f64512c58d175/thumb/d25bfe07d8b665b15118ad2c2895b952_x1.jpg
ПОРТРЕТ В.И. МУХИНОЙ_Нестеров_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/30/37d2fe44edf3c43f0419e55c6c37ab35/thumb/5719416b1af12b2653a222faf5792252_x1.jpg
ЖЕМЧУЖИНА_Врубель_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/a/aa9418bb3539483347982d6af2891ab1/thumb/642cbf50f2da70f54a55d972c42168a8_x1.jpg
"АРХАНГЕЛ МИХАИЛ, ИЗ ДЕИСУСНОГО ЧИНА_Андрей_Рублев.txt",https://cdn.tretyakov.ru/mytretyakov/28/f8758f5e2d599208a6c4bd3747568776/thumb/0dd6549a6201d2524ddfc2fdd6cc7a2b_x1.jpg
ВОДОЕМ_Борисов-Мусатов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/25/78c36ffaf08ea9198b400a28029dbe7d/thumb/a3a089776ef419c290369f6c2b72d996_x1.jpg
ВЕСНА – БОЛЬШАЯ ВОДА_Левитан_Исаак.txt,https://cdn.tretyakov.ru/mytretyakov/24/df87092270ac08adeb9ef14f85bfa937/thumb/69e9f05b74bbf11171e160ce09d7abea_x1.jpg
ВИДЕНИЕ ОТРОКУ ВАРФОЛОМЕЮ_Нестеров_Михаил.txt,https://cdn.tretyakov.ru/mytretyakov/26/8a8aac897dc68780e04bb3c056a99c68/thumb/99837ce480a42d0a8de8cfa3b5467843_x1.jpg
СНЕГУРОЧКА_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/23/05e5894c1579782b6361c7e91a05c4f7/thumb/a5201f83f320159a4b2187662394dbfb_x1.jpg
ПРИЗРАКИ_Борисов-Мусатов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/25/3b9ab6a9aed30531ddd61bc1b6f1169a/thumb/c2731fc033b0e8c4a0269159a6b706ec_x1.jpg
ЗАМОРСКИЕ ГОСТИ_Рерих_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/26/0bed971f375bd1ee87af018f866138bd/thumb/2043d1779a53621b967d49dd1e7dac42_x1.jpg
РАННИЙ СНЕГ_Поленов_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/25/7748cf90e4199d145927fc539a778ae0/thumb/94a503cd735265ab8e893e244b3b89cd_x1.png
ТРИ ЦАРЕВНЫ ПОДЗЕМНОГО ЦАРСТВА_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/23/0b63544bf645b2047152039f3ab42c6f/thumb/bc719a31795191c4f2295ff98d2ada36_x1.jpg
ВЕСНА В КРЫМУ_Левитан_Исаак.txt,https://cdn.tretyakov.ru/mytretyakov/24/c3470d29a8752ccb63fc74217fb42eb4/thumb/b1848fc4e4d316fe2105f1228418a8bd_x1.jpg
«НА СЕВЕРЕ ДИКОМ...»_Шишкин_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/8/4af08afe211c856776d4a827bf5b9ca1/thumb/9daf3d4f1efe9510ece5e2c14fb8c7d4_x1.jpg
МАРЬЯННИК ЛУГОВОЙ. МАРЬЯННИК ПОЛЕВОЙ. МЫТНИК БОЛОТНЫЙ. ТИМЬЯН ПОЛЗУЧИЙ. ШАЛФЕЙ ЛУГОВОЙ_Голубкина_Анна.txt,https://cdn.tretyakov.ru/mytretyakov/a1/66e1f65ad7e4411e86f65d0625f82f5f/thumb/353fabe821028d4d4094b1db11fc5b08_x1.jpg
СТАРАЯ МОСКВА. МЕТЕЛЬ_Васнецов_Аполлинарий.txt,https://cdn.tretyakov.ru/mytretyakov/8d/7aec2adb118aa9c988f566e09407dc53/thumb/fb7369c767f8930392adca1c6938e715_x1.jpg
БАБУШКИН САД_Поленов_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/24/8eb5e8e3aa092f3f06b103cb6971b476/thumb/75b8bb05a5bb7ed99250d3500bcec195_x1.jpg
ПОРТРЕТ П.М. ТРЕТЬЯКОВА_Крамской_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/24/5b5189611d4829507202f0073de553ad/thumb/d12c8d0fb4489cacb2e00b519fbcc6c0_x1.jpg
ДВЕРИ ТИМУРА (ТАМЕРЛАНА)_Верещагин_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/23/b4161e9ba11ffb8a87ac28ac6f5fde75/thumb/38e4172485f8dbdc848a2f38f3dba586_x1.jpg
ПАРИЖ НОЧЬЮ. ИТАЛЬЯНСКИЙ БУЛЬВАР_Коровин_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/26/6cb29f233430eea63a7d69df629183b1/thumb/f11120d0b5bc1bf4fe24b24a921498cb_x1.jpg
УСТНЫЙ СЧЕТ. В НАРОДНОЙ ШКОЛЕ С.А. РАЧИНСКОГО_Богданов-Бельский_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/23/d7c6501a9841cf3cbe06bcef5dfebfa2/thumb/d2e53e7348e9dd4e3c3157245fa60f7b_x1.jpg
ВИХРЬ_Малявин_Филипп.txt,https://cdn.tretyakov.ru/mytretyakov/26/ec30e8eb82756d8403bf541ae680be54/thumb/c706c2ec1c2d50d5ea2382392dbe1b4b_x1.jpg
СИРИН И АЛКОНОСТ. ПЕСНЬ РАДОСТИ И ПЕЧАЛИ_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/23/b8cb9120e7db75afd2b71ddee4a03304/thumb/b6287a13e016841d697237712ba026c5_x1.jpg
ДАМА В ГОЛУБОМ_Сомов_Константин.txt,https://cdn.tretyakov.ru/mytretyakov/26/252909c0b6a9f015b3e2c45ebd8497ee/thumb/0b05e2f5a10750f6fc431fe91cd28aa7_x1.jpg
«ЧТО ЕСТЬ ИСТИНА?» ХРИСТОС И ПИЛАТ_Ге_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/24/61cf8b1b9111a6755bd7fba295861da1/thumb/41a979d7a77867931bfacbd5239e95d5_x1.jpg
ПОРТРЕТ БАРОНЕССЫ В.И. ИКСКУЛЬ ФОН ГИЛЬДЕНБАНДТ_Репин_Илья.txt,https://cdn.tretyakov.ru/mytretyakov/25/c223397c3ab7ee9643b36ea792baccd1/thumb/faa527bfb561fa2d270dd240db8964e1_x1.jpg
"НОЧЬ НА ОЗЕРЕ, ИЛИ ДОМИК С СЕТЯМИ_Васнецов_Аполлинарий.txt",https://cdn.tretyakov.ru/mytretyakov/8d/09e4b65aeb4dd0baa41367e9fc3d7e0a/thumb/351bc5445a1749906ed1b61cc4558ddc_x1.jpg
ПОРТРЕТ Ф.И. ШАЛЯПИНА В РОЛИ ОЛОФЕРНА_Головин_Александр.txt,https://cdn.tretyakov.ru/mytretyakov/25/0c1e32a91fdc3159cd179cce8ad2232c/thumb/871a84d1202eb7690577cdadfee758d7_x1.jpg
ВСАДНИЦА_Брюллов_Карл.txt,https://cdn.tretyakov.ru/mytretyakov/22/6827c3dfc19ebbb4cdf05f2dbc7ca4a1/thumb/fe6cf670c2598ffe3cefad2e23017e3d_x1.jpg
ПОРТРЕТ ЕКАТЕРИНЫ II В ВИДЕ ЗАКОНОДАТЕЛЬНИЦЫ В ХРАМЕ БОГИНИ ПРАВОСУДИЯ_Левицкий_Дмитрий.txt,https://cdn.tretyakov.ru/mytretyakov/22/40518a43aef9b4965c54107896934822/thumb/d354802156b96be5b62ad51cae8c3c45_x1.jpg
"ДЕВОЧКА В МАКОВОМ ВЕНКЕ, С ГВОЗДИКОЙ В РУКЕ (МАРИУЧЧА)_Кипренский_Орест.txt",https://cdn.tretyakov.ru/mytretyakov/23/ee5bdcbd453676852ac8a2045cfebd57/thumb/7873b66ca1d39eb8603c467fa05cfe86_x1.jpg
ПОРТРЕТ В.И. ДАЛЯ_Перов_Василий.txt,https://cdn.tretyakov.ru/mytretyakov/24/e94248ce0779a31b68415770bec30744/thumb/18c7b51ba481424cc13c3e179b73d87a_x1.jpg
ХРИСТОС В ПУСТЫНЕ_Крамской_Иван.txt,https://cdn.tretyakov.ru/mytretyakov/24/e35e4e6002dc449f849cb58a138fdd9f/thumb/7df1a71c7b8cc7195547191b607f4e66_x1.jpg
ПЕТР I ДОПРАШИВАЕТ ЦАРЕВИЧА АЛЕКСЕЯ ПЕТРОВИЧА В ПЕТЕРГОФЕ_Ге_Николай.txt,https://cdn.tretyakov.ru/mytretyakov/24/dcf4d455a03b0aabd80a6c2a3010fa3d/thumb/947b92fa7696b816f29b20620f870346_x1.jpg
ЦАРЕВНА-ЛЯГУШКА_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/9b/609ee74b0c4a4177bc5466a0ccc9f45b/thumb/566279dddb9f69e64785599578b80e23_x1.jpg
КОВЕР-САМОЛЕТ_Васнецов_Виктор.txt,https://cdn.tretyakov.ru/mytretyakov/a5/eb36a1f680bdd1cced26bfc336ded700/thumb/055790768583b7500c7f5b22621e3e4d_x1.jpg
